age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
74,0,1,1,32671.39,2722.62,0,0.233,638,19789.83,2,16.06,60,481.88,18,4,35182.4,8300.15,4,0,4,0
27,0,1,1,40266.4,3355.53,0,0.163,599,17818.36,6,11.11,60,388.39,21,3,53075.34,49417.87,0,0,1,1
74,1,1,1,55926.62,4660.55,1,0.302,689,1052.01,3,14.78,36,36.36,10,4,40178.46,25034.16,3,0,4,1
21,0,2,1,85226.25,7102.19,0,0.048,467,12721.07,7,17.19,36,454.74,28,8,127267.56,56068.25,1,0,1,1
64,1,2,1,106265.71,8855.48,0,0.127,615,18383.89,2,11.14,36,603.08,15,10,83160.44,18253.92,2,0,2,1
65,1,1,1,13322.31,1110.19,0,0.2,726,18516.33,2,13.3,36,626.57,10,3,19749.98,1061.16,0,0,0,1
62,1,1,0,32434.65,2702.89,2,0.158,700,19730.61,3,15.31,36,686.97,12,7,54111.27,19393.22,2,0,4,1
67,0,2,2,89098.56,7424.88,0,0.043,624,13384.93,2,12.28,36,446.36,17,7,68106.86,54419.81,4,0,4,1
33,1,2,2,57758.41,4813.2,2,0.137,657,8829.45,2,13.83,36,301.04,17,3,77020.78,30482.03,3,0,5,1
75,1,1,1,59471.87,4955.99,2,0.148,806,17383.42,6,10.72,36,566.81,4,5,50466.52,17281.37,3,0,3,1
42,1,2,3,23452.0,1954.33,0,0.148,790,1078.07,4,11.51,60,23.71,9,6,28558.22,3222.91,0,0,1,1
74,1,2,2,24010.16,2000.85,0,0.44,732,9939.09,0,11.39,36,327.23,14,8,43398.46,29232.79,1,1,1,0
41,1,2,1,53925.28,4493.77,0,0.063,626,16976.9,6,12.21,60,379.45,19,2,47141.78,11666.17,3,0,4,1
42,1,1,1,27254.26,2271.19,0,0.214,726,11480.48,2,8.74,36,363.69,13,5,42511.57,9417.6,2,0,3,1
48,0,2,1,18376.96,1531.41,0,0.056,733,17453.55,2,14.29,60,408.74,11,4,18457.94,3006.03,1,0,1,1
29,1,1,2,38603.28,3216.94,0,0.08,645,10912.91,2,12.46,60,245.3,18,9,45741.4,15384.18,1,0,1,1
46,0,1,1,32340.75,2695.06,0,0.548,755,13064.5,6,12.21,60,292.0,8,4,30673.02,24215.49,3,0,3,1
29,0,1,1,61159.86,5096.66,4,0.286,626,22136.72,6,9.4,36,708.07,16,8,83604.28,8814.79,3,0,3,0
35,1,2,0,46478.29,3873.19,0,0.35,729,25321.0,0,11.55,36,835.59,14,6,59394.75,26594.91,3,0,3,1
30,1,2,2,115919.5,9659.96,0,0.186,677,24699.25,4,12.88,36,830.79,14,4,124741.9,105547.87,3,0,3,1
44,0,2,0,20055.1,1671.26,4,0.163,708,500.0,4,11.99,60,11.12,10,4,31417.29,26945.62,4,0,5,0
62,1,1,0,37274.33,3106.19,0,0.146,727,17955.76,6,11.1,36,588.7,10,7,50802.23,40480.84,2,0,2,1
28,1,1,1,50991.91,4249.33,4,0.152,682,8315.23,2,9.99,60,176.63,14,4,60456.29,11812.36,4,0,7,0
44,1,2,0,49860.01,4155.0,0,0.18,772,13177.33,2,11.14,36,432.28,7,5,78584.04,30372.64,1,0,2,1
36,0,1,0,42359.84,3529.99,4,0.086,850,8052.4,2,10.47,36,261.61,0,3,31342.45,19136.98,3,0,4,1
69,0,1,0,12767.35,1063.95,2,0.115,736,22151.23,2,10.91,36,724.26,10,6,14954.41,12371.1,3,0,3,1
46,2,2,0,11187.61,932.3,2,0.148,619,12500.09,1,16.24,60,305.57,19,4,13299.49,5283.97,1,0,2,1
47,0,2,1,19054.93,1587.91,0,0.179,599,18302.59,1,17.27,60,457.53,23,6,18497.49,11973.71,3,0,4,1
57,1,1,1,48916.36,4076.36,1,0.017,543,9335.3,2,15.5,36,325.9,26,6,79089.4,40110.37,1,0,2,1
24,1,1,1,11619.94,968.33,0,0.203,722,14155.33,2,10.45,36,459.75,10,4,13738.6,6921.58,3,0,4,1
70,1,3,1,53987.49,4498.96,0,0.084,703,21010.79,4,17.61,36,755.49,10,6,36610.86,2063.57,4,0,5,1
44,1,2,1,30280.21,2523.35,2,0.161,794,24402.52,7,11.14,60,532.28,5,4,46402.15,8343.04,1,0,1,1
39,1,0,1,29686.05,2473.84,4,0.123,561,20991.62,6,12.27,60,469.82,29,5,42112.53,28880.96,2,0,2,0
56,1,2,0,116504.64,9708.72,1,0.274,623,32871.22,1,11.57,36,1085.06,15,4,97457.38,61989.0,1,0,1,1
59,1,2,1,106174.94,8847.91,0,0.214,619,2205.91,2,16.99,36,78.64,16,7,72661.93,38812.73,4,0,5,1
30,1,1,4,24242.41,2020.2,0,0.384,784,500.0,1,14.02,60,11.64,7,7,30116.82,12183.43,3,0,4,1
45,1,2,2,57812.43,4817.7,0,0.087,705,18215.22,6,11.93,36,604.4,11,5,79322.39,41470.75,2,0,3,1
38,0,1,0,37159.5,3096.62,0,0.106,536,13545.79,2,12.8,36,455.11,25,5,41832.64,2615.67,1,1,1,1
39,0,2,0,60674.6,5056.22,0,0.302,632,23196.7,2,12.0,36,770.46,16,3,87495.76,32722.83,2,0,4,1
56,2,1,3,28717.14,2393.09,0,0.152,637,19920.47,6,14.84,60,472.24,15,2,35108.15,13246.17,1,0,3,0
30,1,1,0,16304.42,1358.7,4,0.245,801,25362.62,2,11.21,36,832.86,3,8,21187.93,10172.97,4,2,4,0
53,1,0,2,35414.59,2951.22,4,0.118,743,19732.47,6,12.46,60,443.54,5,3,27537.96,12899.1,0,0,0,1
75,1,2,2,59093.71,4924.48,0,0.029,674,15680.06,2,12.23,36,522.53,14,4,92276.12,23389.8,0,0,0,1
70,1,1,3,33423.78,2785.32,0,0.105,703,9185.58,3,11.56,36,303.17,11,8,43753.67,28049.26,1,0,1,1
25,1,2,0,59580.11,4965.01,0,0.24,586,15406.48,1,13.0,36,519.11,22,3,78379.37,5260.32,0,0,1,1
67,0,1,1,77976.64,6498.05,0,0.107,691,500.0,2,14.47,36,17.2,13,9,86104.59,19450.75,0,0,1,1
69,2,1,1,73660.42,6138.37,0,0.067,668,500.0,5,12.26,60,11.19,15,5,47367.8,12471.92,2,0,2,1
55,1,2,0,48149.63,4012.47,0,0.076,802,2779.89,2,9.79,60,58.78,3,3,47415.26,42986.9,1,0,1,1
64,1,2,0,16459.33,1371.61,2,0.062,676,8971.4,1,10.55,60,193.05,14,6,16640.82,12415.47,0,0,0,1
54,1,1,1,11110.49,925.87,4,0.064,676,29391.41,2,14.4,36,1010.25,14,5,11356.76,2055.28,3,0,4,0
53,1,1,1,51712.13,4309.34,4,0.128,600,10486.67,1,14.63,36,361.63,22,3,65021.9,9736.75,0,0,0,0
75,1,2,2,58042.41,4836.87,0,0.122,568,5614.52,3,13.46,36,190.42,27,2,47128.97,21266.03,5,0,5,1
41,1,1,0,36539.26,3044.94,0,0.108,623,8891.79,0,16.04,36,312.78,19,5,56549.02,13861.35,2,0,2,1
37,1,1,0,42525.61,3543.8,0,0.202,666,10363.28,1,12.74,60,234.42,17,7,44719.91,30481.21,1,0,1,1
42,1,1,2,34305.5,2858.79,2,0.109,643,14745.4,2,10.42,60,316.35,19,2,31563.76,11683.02,0,0,0,1
68,1,2,0,37849.06,3154.09,2,0.311,739,24712.85,2,12.15,36,822.59,10,5,53120.79,7442.26,5,0,5,1
57,1,1,1,45652.81,3804.4,0,0.347,632,12701.11,5,12.82,36,426.85,17,8,33787.61,24249.05,9,2,10,1
35,1,1,2,62472.77,5206.06,0,0.153,695,4530.93,6,13.95,36,154.75,12,5,57764.5,12160.51,3,0,3,1
55,2,1,1,38842.87,3236.91,0,0.087,692,9321.98,1,11.59,36,307.8,14,1,26509.54,16751.2,1,0,1,1
48,1,1,2,36713.78,3059.48,0,0.036,706,15654.77,6,11.08,36,513.11,10,3,33263.1,7791.53,0,0,1,1
27,0,2,2,33308.84,2775.74,0,0.123,649,1284.49,1,13.13,36,43.36,18,5,52641.93,46568.71,0,0,0,1
52,0,2,0,41729.79,3477.48,0,0.196,773,7683.77,7,8.5,60,157.64,6,7,28700.37,5509.55,1,0,1,1
31,0,2,0,10921.76,910.15,4,0.367,675,19701.13,2,9.72,60,415.88,14,6,17824.26,1059.78,1,0,2,0
30,0,2,0,62823.01,5235.25,0,0.185,726,31614.23,1,15.22,60,755.76,14,6,91414.81,75060.64,0,0,2,1
29,0,2,2,32377.65,2698.14,0,0.184,847,13515.87,6,13.35,36,457.68,4,6,31231.68,11847.66,1,0,1,1
34,0,1,1,22695.99,1891.33,0,0.042,621,16347.53,1,13.6,36,555.55,19,4,16652.86,7893.34,0,0,0,1
33,1,1,0,82972.3,6914.36,0,0.264,649,2763.82,2,13.0,60,62.89,15,4,113000.04,58529.69,2,0,2,1
45,1,2,1,30805.48,2567.12,0,0.265,598,8739.87,6,15.77,36,306.28,21,10,52904.76,24737.26,3,0,3,0
22,2,2,3,19378.82,1614.9,0,0.304,675,4533.99,1,14.54,36,156.15,11,8,21696.82,7054.26,1,0,1,1
55,0,2,3,56686.94,4723.91,0,0.181,734,17006.25,2,7.64,36,530.09,13,3,32246.14,22668.4,1,0,3,1
27,0,1,2,27273.12,2272.76,2,0.134,599,500.0,0,16.32,60,12.24,22,4,29068.2,7018.6,0,0,0,0
41,0,1,0,28991.07,2415.92,0,0.185,702,5119.32,6,7.31,36,158.8,10,5,33318.5,16022.58,2,0,2,1
38,0,2,1,60740.62,5061.72,0,0.141,778,11198.63,2,6.35,36,342.46,7,3,38083.36,26668.67,1,0,2,1
23,0,1,0,65566.32,5463.86,0,0.186,747,10579.17,0,9.53,36,339.03,9,3,90998.86,68701.34,2,0,2,1
62,0,2,2,16193.75,1349.48,0,0.165,811,12348.52,2,12.53,36,413.28,4,5,25353.76,19867.21,2,0,4,1
74,0,2,0,34609.4,2884.12,0,0.253,573,9963.41,6,15.93,36,349.94,28,6,54354.49,32576.63,1,0,1,1
59,0,2,0,15221.03,1268.42,1,0.088,731,6367.93,5,11.45,60,139.89,14,3,24579.29,8221.38,0,0,0,1
61,0,1,2,28052.51,2337.71,0,0.373,657,20895.01,2,12.97,60,475.1,18,8,45960.38,42285.31,3,0,4,1
69,0,2,0,22601.25,1883.44,0,0.176,660,6108.56,2,11.66,60,134.83,19,6,22766.06,2995.31,2,0,2,1
31,0,2,2,68290.83,5690.9,0,0.104,633,6381.92,2,14.73,36,220.39,15,4,60987.69,13800.47,3,0,5,1
59,1,2,0,18840.86,1570.07,0,0.062,698,6706.71,4,14.03,36,229.32,14,9,34605.19,7503.16,0,0,0,1
44,1,2,1,50351.67,4195.97,0,0.159,696,25763.74,6,12.72,60,582.52,11,7,78966.75,74464.47,2,0,2,1
66,0,1,2,30377.35,2531.45,4,0.222,670,12318.77,4,10.55,60,265.08,10,3,20943.39,9250.42,1,0,1,0
39,0,2,2,13933.4,1161.12,0,0.2,574,500.0,5,15.43,36,17.44,26,11,28274.7,6565.02,3,0,4,0
24,1,1,0,22141.3,1845.11,0,0.379,740,4377.07,2,12.33,36,146.07,6,3,32464.89,5539.22,0,0,2,0
46,1,2,0,16664.34,1388.7,0,0.122,695,20656.41,4,10.98,36,676.07,10,3,13595.71,11696.23,3,0,3,1
58,0,2,2,22217.55,1851.46,0,0.373,630,32278.8,2,15.73,36,1130.53,15,3,17462.15,1904.91,5,0,7,1
62,0,2,4,19827.07,1652.26,0,0.153,693,17930.44,2,9.16,36,571.52,14,5,33596.66,12025.07,2,0,3,1
52,0,2,3,29791.24,2482.6,0,0.15,644,13112.93,5,13.07,36,442.27,15,6,26501.7,13125.74,0,0,2,1
59,0,2,0,64543.09,5378.59,0,0.087,608,10118.34,2,14.61,60,238.65,20,2,71658.47,53731.02,3,0,4,1
65,1,2,0,21786.47,1815.54,0,0.202,752,16343.91,2,9.58,60,343.89,7,4,35055.04,6899.02,0,0,0,1
66,1,1,2,18408.16,1534.01,0,0.194,592,6338.37,1,14.9,36,219.41,23,3,26759.83,23888.82,3,0,3,1
56,1,1,0,25268.63,2105.72,0,0.238,743,40496.27,3,11.44,36,1334.25,9,5,39261.27,35076.98,1,0,1,0
60,0,1,0,30293.96,2524.5,0,0.167,686,3497.72,2,13.91,36,119.39,14,8,34294.85,21633.02,1,0,1,1
57,1,2,0,22764.62,1897.05,0,0.049,657,4906.13,2,14.14,36,168.01,18,4,33001.85,24798.1,2,0,2,1
53,0,1,0,16697.79,1391.48,0,0.164,677,7256.8,2,12.54,36,242.91,11,0,11917.36,10130.55,2,0,3,1
56,0,2,1,57049.13,4754.09,0,0.078,652,2637.48,4,14.5,36,90.78,18,2,63894.24,18528.71,1,0,1,1
23,0,1,1,51326.66,4277.22,2,0.13,684,15374.92,2,10.83,36,502.12,13,4,36692.77,29335.84,2,0,2,1
29,0,3,0,34224.31,2852.03,0,0.417,541,10353.49,2,15.06,36,359.21,29,5,41540.3,2920.12,3,0,4,0
28,1,1,0,89783.02,7481.92,0,0.081,734,12093.89,2,9.52,36,387.52,14,10,105570.06,6703.79,1,0,1,1
53,0,2,4,160168.39,13347.37,0,0.174,812,22766.72,2,9.21,36,726.2,1,7,103528.27,56852.51,3,0,3,1
26,1,2,1,80539.47,6711.62,0,0.095,657,15346.51,5,10.52,36,498.94,15,2,87726.09,55812.43,3,0,3,1
61,1,2,0,10280.76,856.73,0,0.28,658,6379.48,3,13.35,36,216.03,19,5,10802.03,9982.71,3,0,5,1
59,1,2,3,43784.53,3648.71,2,0.091,672,5288.65,6,10.48,36,171.84,11,6,52805.92,46114.54,0,0,0,1
24,1,2,0,22691.03,1890.92,0,0.272,684,21362.45,2,13.13,36,721.12,11,4,23113.24,15917.28,2,0,2,1
33,0,2,0,29296.08,2441.34,0,0.234,621,21293.53,2,10.45,60,457.15,18,2,29729.77,24276.85,2,0,2,0
69,0,2,2,13889.67,1157.47,4,0.153,645,8047.22,2,11.21,36,264.26,15,7,27781.4,11069.33,2,0,3,0
22,1,2,2,42514.55,3542.88,2,0.054,727,3660.67,1,14.04,36,125.18,12,7,36299.43,24076.15,0,0,0,1
25,1,2,0,102623.03,8551.92,0,0.212,688,10830.03,4,13.21,36,366.0,13,5,124969.31,105686.14,3,0,4,1
64,0,1,4,34925.03,2910.42,0,0.123,695,12265.36,3,13.61,36,416.88,11,5,23829.52,6767.75,3,0,3,1
47,0,2,1,66802.41,5566.87,2,0.198,717,13390.38,2,11.44,36,441.18,14,7,65855.94,13166.43,2,0,2,0
52,1,2,0,44639.01,3719.92,0,0.079,742,17161.63,2,11.01,36,561.93,6,6,54516.33,3522.86,1,0,1,1
41,0,1,2,57403.94,4783.66,0,0.146,616,22632.55,3,11.87,36,750.32,15,3,52103.69,26828.86,1,0,2,1
28,0,1,0,9304.62,775.39,0,0.199,679,7521.84,2,11.25,36,247.15,12,6,16502.28,9478.65,2,0,2,1
58,0,2,3,47049.95,3920.83,0,0.495,786,2117.16,2,7.74,36,66.09,9,6,40781.76,8388.06,5,0,6,1
28,1,1,1,60420.82,5035.07,1,0.052,672,12156.94,2,14.13,36,416.26,12,3,49898.95,26243.07,2,0,2,1
70,0,2,0,100924.5,8410.38,0,0.031,748,20886.17,5,14.64,60,492.94,6,3,103390.17,13846.68,1,0,1,1
23,0,2,0,15309.36,1275.78,2,0.18,850,7466.31,4,6.39,36,228.46,1,14,34827.52,2540.88,1,0,2,1
74,0,2,0,97211.76,8100.98,0,0.245,650,20529.89,4,13.83,36,699.97,18,10,141108.34,83038.23,1,0,2,1
64,0,2,1,29786.73,2482.23,3,0.161,648,14382.47,3,14.81,36,497.24,18,7,39696.08,31640.55,2,0,2,0
23,0,1,1,40671.62,3389.3,0,0.261,730,6030.55,3,9.69,36,193.71,10,5,63416.4,5323.0,2,0,2,0
42,1,2,3,63978.6,5331.55,0,0.097,598,24401.59,4,13.47,36,827.72,22,4,69236.71,24548.43,1,0,1,1
26,0,2,4,63260.06,5271.67,4,0.157,755,10878.44,2,11.79,36,360.23,9,4,95650.07,45489.06,3,0,3,0
22,0,0,0,12916.33,1076.36,0,0.108,816,22999.96,2,9.16,36,733.11,4,3,18288.54,4356.0,0,0,0,1
43,0,2,0,38934.09,3244.51,0,0.13,790,500.0,2,11.6,36,16.51,9,3,40757.54,2506.04,1,0,1,1
64,1,1,0,19233.22,1602.77,0,0.039,674,13492.3,2,13.59,60,311.08,10,6,30266.91,1951.16,1,0,1,1
22,1,2,2,37515.4,3126.28,3,0.211,753,36008.42,4,13.25,60,823.92,7,3,55196.65,33063.43,0,0,0,1
58,0,2,0,25212.35,2101.03,0,0.092,737,25757.11,6,11.62,60,568.02,10,9,41506.83,9825.78,3,0,3,1
37,0,2,2,13410.2,1117.52,0,0.197,638,9655.75,2,14.64,36,333.02,16,5,13663.07,1092.9,5,0,7,1
55,1,1,4,19773.86,1647.82,0,0.254,647,15354.43,2,9.25,36,490.06,17,11,35026.81,17902.15,2,0,3,1
54,0,1,0,50851.97,4237.66,0,0.116,797,10139.82,2,8.06,60,205.89,9,4,36458.52,13315.43,0,0,0,1
43,1,2,1,44722.37,3726.86,0,0.26,648,4500.28,2,15.24,36,156.53,17,10,47389.08,26747.35,3,1,4,1
50,2,2,0,18763.93,1563.66,0,0.126,633,11392.2,0,13.48,36,386.49,19,5,27433.49,23320.28,1,0,2,1
72,0,0,2,25729.02,2144.08,3,0.083,775,16971.89,5,12.99,36,571.77,8,4,33135.51,28770.38,1,0,2,1
28,1,1,0,42134.29,3511.19,0,0.308,631,16686.32,2,11.84,36,552.95,16,5,38136.21,23875.08,1,0,1,0
42,0,1,4,43248.08,3604.01,0,0.037,752,1922.28,2,11.3,36,63.21,8,5,65248.3,11810.38,0,0,1,1
64,0,1,4,54493.37,4541.11,0,0.115,738,11461.58,2,12.26,36,382.11,10,4,77474.87,13964.81,1,0,1,1
56,1,1,0,41720.26,3476.69,2,0.142,752,500.0,2,14.21,60,11.69,5,4,56327.02,23495.1,0,0,1,1
25,0,2,0,51773.69,4314.47,2,0.12,726,13837.43,2,11.89,60,307.04,13,5,49927.68,32669.13,3,0,3,1
33,1,1,0,34913.38,2909.45,0,0.103,705,19277.5,0,14.2,60,450.56,12,5,29494.06,26938.26,3,0,3,1
49,0,1,1,49013.21,4084.43,0,0.329,797,16195.76,1,12.7,36,543.36,8,3,58448.27,33640.44,1,0,2,1
51,1,1,0,95117.78,7926.48,0,0.357,633,27949.8,6,12.09,36,929.54,19,5,65902.02,40980.67,4,0,5,1
67,1,2,1,93247.84,7770.65,0,0.34,702,500.0,1,11.04,60,10.88,11,6,55742.89,30348.21,2,2,2,1
75,1,1,2,37124.44,3093.7,0,0.447,673,13810.36,3,12.51,36,462.07,12,4,43332.07,26047.23,0,0,0,1
36,1,1,3,17994.32,1499.53,1,0.54,703,19862.82,6,10.88,60,430.68,11,7,19601.15,2854.53,3,0,3,1
62,0,1,1,81358.14,6779.84,4,0.096,716,34799.57,1,9.31,60,727.63,12,6,72638.27,66149.83,1,0,1,1
50,1,1,0,8867.91,738.99,0,0.19,609,16976.36,2,16.96,36,604.92,20,3,11350.24,1303.46,5,0,5,1
75,1,1,0,49617.17,4134.76,0,0.141,675,10713.62,6,12.16,36,356.66,10,6,54254.62,17935.19,1,0,1,1
36,0,1,2,48582.94,4048.58,1,0.094,812,25344.36,2,8.01,36,794.32,3,3,55481.69,13495.92,1,0,2,1
32,0,2,0,37372.35,3114.36,0,0.17,776,2306.04,2,10.6,36,75.06,9,2,22271.18,20918.45,0,0,0,1
37,0,2,1,46063.79,3838.65,0,0.161,643,20282.17,6,13.31,36,686.42,17,8,59003.44,53938.51,0,0,0,1
36,0,1,1,16444.9,1370.41,0,0.211,727,39754.87,2,9.72,36,1277.56,13,9,24222.94,3894.13,2,0,3,1
32,0,1,1,19331.48,1610.96,0,0.059,697,17274.36,1,12.58,36,578.55,13,2,17805.28,6458.62,1,2,2,1
28,1,2,3,16846.74,1403.9,0,0.157,756,14902.79,3,14.39,36,512.17,6,4,25161.03,14116.43,2,0,3,1
40,1,1,0,18135.88,1511.32,0,0.154,708,8432.93,2,9.94,60,178.93,13,2,11785.95,4257.82,2,0,2,1
23,0,2,3,23814.55,1984.55,0,0.173,673,25383.31,6,12.32,36,846.97,14,5,20662.2,6501.62,1,0,1,1
36,1,2,0,32653.87,2721.16,2,0.506,629,2202.2,6,12.36,36,73.52,16,8,36925.36,24463.35,0,0,0,1
50,1,1,0,66073.0,5506.08,3,0.143,737,5118.68,2,11.02,60,111.34,11,4,40561.02,20429.79,1,0,2,1
65,1,1,2,117444.46,9787.04,0,0.465,716,5803.08,5,8.49,60,119.03,10,9,137143.2,13207.52,2,0,2,1
43,1,1,2,22094.75,1841.23,4,0.057,708,19588.39,0,12.98,36,659.82,11,3,19897.34,16877.34,0,0,0,1
48,0,1,1,34713.26,2892.77,4,0.087,661,500.0,2,10.98,60,10.87,19,6,32897.04,5891.54,3,0,4,0
71,0,2,1,38529.19,3210.77,0,0.19,700,2034.58,1,8.03,60,41.28,10,1,38821.92,24759.98,5,0,6,1
60,0,2,1,21297.57,1774.8,0,0.342,732,18425.76,7,10.28,60,394.04,13,6,20726.9,6717.49,8,0,9,1
74,0,1,2,27515.07,2292.92,2,0.296,736,22152.46,2,11.6,36,731.55,11,5,37721.8,2376.46,0,0,1,1
25,1,1,2,100248.24,8354.02,1,0.509,605,15159.27,3,16.64,60,373.82,23,5,102141.29,59369.91,6,0,6,1
40,1,2,1,74480.4,6206.7,4,0.094,628,26445.82,4,12.91,60,600.51,16,9,89278.95,31794.87,1,0,1,0
60,2,1,1,80199.2,6683.27,0,0.046,794,21018.84,2,9.66,36,674.87,9,3,75013.82,60180.67,1,1,2,1
64,1,1,0,50610.45,4217.54,0,0.255,657,3850.3,4,14.17,36,131.91,17,9,48711.39,37412.03,4,0,4,0
21,1,1,0,60414.94,5034.58,2,0.316,585,8627.95,6,9.29,36,275.53,23,3,85607.88,47413.96,3,0,3,0
50,0,1,0,45165.68,3763.81,0,0.398,563,7780.3,3,14.04,36,266.06,29,2,30261.34,26235.21,6,0,6,0
41,0,2,3,94753.62,7896.13,4,0.033,718,18872.25,0,12.17,36,628.36,10,7,81352.1,28767.45,4,0,5,1
40,1,2,2,6305.29,525.44,0,0.121,615,1838.51,6,12.64,36,61.63,17,4,11560.44,8447.7,1,0,1,1
26,0,1,1,18831.19,1569.27,0,0.041,621,9996.83,2,16.3,36,352.94,15,6,21197.07,4845.5,0,0,0,1
42,2,1,1,14957.08,1246.42,0,0.179,631,21647.43,6,15.34,60,518.86,17,4,25540.51,22538.37,1,0,1,0
38,1,2,0,24114.79,2009.57,2,0.063,548,19604.45,2,14.88,36,678.44,29,6,39332.54,4180.35,2,0,2,1
28,0,1,0,37485.16,3123.76,0,0.085,733,12725.24,2,6.98,36,392.8,12,1,34316.49,30620.58,0,0,0,1
59,1,1,2,33307.32,2775.61,1,0.369,823,5515.0,2,14.09,36,188.73,1,6,39113.84,13667.7,1,0,1,1
52,0,2,0,21762.18,1813.52,0,0.256,556,12676.66,3,13.02,60,288.56,27,10,31488.36,26715.09,1,0,1,1
53,0,1,0,40200.85,3350.07,4,0.298,695,3167.38,1,11.13,36,103.89,12,6,56846.24,20943.84,0,0,0,0
73,0,2,0,44692.09,3724.34,2,0.168,667,500.0,2,9.16,36,15.94,17,4,40036.46,28927.06,1,0,2,1
36,1,2,1,49872.81,4156.07,2,0.091,762,17344.63,2,12.83,36,582.99,6,4,60843.97,30884.57,0,0,1,1
32,1,1,0,57362.56,4780.21,2,0.243,730,20235.52,2,12.9,36,680.84,13,4,80403.48,38109.22,2,0,3,1
58,1,2,2,24974.69,2081.22,0,0.132,737,14108.58,4,13.84,36,481.1,12,5,36951.31,6750.17,3,0,4,1
72,0,2,2,66230.15,5519.18,0,0.549,585,24044.31,3,12.9,36,808.99,20,8,64182.23,5980.41,3,0,3,1
54,1,1,1,34773.24,2897.77,0,0.148,686,6027.74,2,14.36,36,207.07,12,6,38959.97,12331.26,1,0,2,1
34,1,1,0,57055.7,4754.64,0,0.214,636,13767.81,2,16.03,36,484.24,18,6,77089.14,46979.46,3,0,4,1
56,1,1,0,24861.12,2071.76,0,0.155,632,8134.1,4,13.74,60,188.17,15,4,29050.17,22002.27,3,0,3,1
53,1,2,2,101704.19,8475.35,0,0.311,683,22699.75,4,11.51,36,748.66,11,5,84520.72,70689.36,3,0,4,1
43,1,2,0,49149.06,4095.75,0,0.331,699,10703.46,2,10.28,36,346.78,13,10,70361.36,15821.21,3,0,3,1
70,0,1,2,38853.61,3237.8,2,0.259,764,4671.82,2,11.26,36,153.53,7,4,24792.03,20275.92,0,0,1,1
65,1,2,1,17541.77,1461.81,4,0.087,645,17754.5,6,12.97,36,597.96,17,12,28618.29,20239.52,3,0,3,0
22,1,1,0,69704.84,5808.74,2,0.328,622,21252.84,5,11.84,36,704.28,17,6,47446.34,23122.22,4,0,4,0
61,0,2,2,18940.81,1578.4,0,0.252,658,47167.16,0,10.46,36,1532.16,15,3,17231.27,5309.21,3,0,3,1
41,0,1,2,137353.63,11446.14,0,0.378,722,3824.35,2,11.19,60,83.51,13,3,140353.3,85478.9,4,0,5,1
22,1,2,1,56367.4,4697.28,0,0.242,708,725.98,3,8.36,60,14.85,13,5,71265.09,62971.48,3,0,3,1
47,1,2,0,16602.32,1383.53,4,0.058,657,15929.71,7,12.12,60,355.31,15,5,24491.61,4309.42,0,0,1,0
29,0,0,1,41269.37,3439.11,0,0.296,685,7470.52,2,14.75,60,176.74,12,1,40727.93,26987.69,4,0,4,1
21,1,3,2,118214.22,9851.18,0,0.324,629,9292.41,2,12.5,36,310.86,16,9,179944.68,96785.48,3,0,3,0
31,0,2,2,36021.49,3001.79,0,0.079,648,17010.67,5,15.34,60,407.72,17,10,62714.55,43610.54,1,0,1,1
23,1,1,1,29291.54,2440.96,2,0.159,666,11706.27,0,12.63,36,392.35,15,1,22787.56,5867.39,3,0,4,1
72,1,1,0,43761.69,3646.81,0,0.204,522,20404.19,4,18.72,36,745.05,29,5,61477.42,4545.43,2,0,2,1
43,1,2,0,23091.29,1924.27,0,0.255,648,12521.81,4,14.23,36,429.37,18,5,25987.8,8531.59,2,0,2,1
46,0,2,1,80862.43,6738.54,0,0.394,606,17977.4,0,12.74,36,603.48,22,3,82799.54,14239.01,6,1,6,0
24,0,2,4,21725.48,1810.46,0,0.056,634,13030.68,2,15.16,60,311.09,15,5,37300.72,5706.13,2,0,3,1
38,1,1,1,47059.18,3921.6,2,0.227,740,4322.91,4,10.3,60,92.49,8,7,64229.94,5751.02,2,0,2,1
75,0,1,0,76911.9,6409.32,0,0.315,698,10889.01,2,11.75,36,360.37,13,3,77680.19,9824.38,0,0,0,1
26,1,0,0,37561.51,3130.13,0,0.185,643,14179.12,2,12.56,60,319.43,18,10,61399.3,10866.39,2,0,2,1
55,1,1,2,78793.86,6566.16,4,0.217,674,17673.41,7,10.92,36,577.94,10,3,78684.22,18234.22,2,0,2,0
42,0,1,1,32429.65,2702.47,0,0.138,572,2854.29,2,14.58,36,98.36,28,4,26816.97,12828.97,2,0,4,1
63,1,1,0,18475.15,1539.6,0,0.278,678,18206.85,2,13.69,60,420.72,10,8,23519.79,21886.88,1,0,1,1
35,0,1,1,56690.37,4724.2,0,0.351,665,7981.23,4,14.32,36,274.02,19,3,42982.53,13314.13,1,0,2,1
42,0,2,2,44448.95,3704.08,1,0.073,657,21559.37,6,15.97,36,757.64,17,3,59222.89,48988.37,1,0,2,1
57,0,2,1,20433.99,1702.83,0,0.185,675,19489.79,2,10.71,36,635.4,10,7,31848.87,19327.95,1,0,2,1
